co_etnia,etnia
1,"ACONA (WAKONAS, NACONAS, JAKONA, ACORANES)"
2,"AIKANA (AIKANA, MASSAKA,TUBARAO)"
3,AJURU
4,AKUNSU (AKUNT'SU)
5,A M A N AY E
6,A M O N D AWA
7,ANAMBE
8,APARAI (APALAI)
9,APIAKA (APIACA)
10,APINAYE (APINAJE/APINAIE/APINAGE)
11,"APURINA (APORINA, IPURINA, IPURINA, IPURINAN)"
12,ARANA (ARACUAI DO VALE DO JEQUITINHONHA)
13,ARAPASO (ARAPACO)
14,"ARARA DE RONDONIA (KARO, URUCU, URUKU)"
15,"ARARA DO ACRE (SHAWANAUA, AMAWAKA)"
16,ARARA DO ARIPUANA (ARARA DO BEIRADAO/ARIPUANA)
17,"ARARA DO PARA (UKARAGMA, UKARAMMA)"
18,ARAWETE (ARAUETE)
19,"ARIKAPU (ARICAPU, ARIKAPO, MASUBI, MAXUBI)"
20,"ARIKEM (ARIQUEN, ARIQUEME, ARIKEME)"
21,ARIKOSE (ARICOBE)
22,ARUA
23,ARUAK (ARAWAK)
24,ASHANINKA (KAMPA)
25,ASURINI DO TOCANTINS (AKUAWA/AKWAWA)
26,ASURINI DO XINGU (AWAETE)
27,ATIKUM (ATICUM)
28,AVA - C A N O E I R O
29,AWETI (AUETI/AUETO)
30,"BAKAIRI (KURA, BACAIRI)"
31,"BANAWA YAFI (BANAWA, BANAWA-JAFI)"
32,"BANIWA (BANIUA, BANIVA, WALIMANAI, WAKUENAI)"
33,BARA (WAIPINOMAKA)
34,BARASANA (HANERA)
35,BARE
36,BORORO (BOE)
37,BOTOCUDO (GEREN)
38,CANOE
39,C A S S U PA
40,CHAMACOCO
41,CHIQUITANO (XIQUITANO)
42,CIKIYANA (SIKIANA)
43,CINTA LARGA (MATETAMAE)
44,COLUMBIARA (CORUMBIARA)
45,DENI
46,"DESANA (DESANA, DESANO, DESSANO, WIRA,UMUKOMASA)"
47,"DIAHUI (JAHOI, JAHUI, DIARROI)"
48,ENAWENE-NAWE (SALUMA)
