ibge7,ibge,rs,regional,macro,municipio,uf,populacao,estado
1100015,110001,99,Fora,Fora,Alta Floresta D'Oeste,RO,22728,Rondônia
1100023,110002,99,Fora,Fora,Ariquemes,RO,109523,Rondônia
1100031,110003,99,Fora,Fora,Cabixi,RO,5188,Rondônia
1100049,110004,99,Fora,Fora,Cacoal,RO,85893,Rondônia
1100056,110005,99,Fora,Fora,Cerejeiras,RO,16204,Rondônia
1100064,110006,99,Fora,Fora,Colorado do Oeste,RO,15544,Rondônia
1100072,110007,99,Fora,Fora,Corumbiara,RO,7220,Rondônia
1100080,110008,99,Fora,Fora,Costa Marques,RO,18798,Rondônia
1100098,110009,99,Fora,Fora,Espigão D'Oeste,RO,32695,Rondônia
1100106,110010,99,Fora,Fora,Guajará-Mirim,RO,46556,Rondônia
1100114,110011,99,Fora,Fora,Jaru,RO,51620,Rondônia
1100122,110012,99,Fora,Fora,Ji-Paraná,RO,130009,Rondônia
1100130,110013,99,Fora,Fora,Machadinho D'Oeste,RO,40867,Rondônia
1100148,110014,99,Fora,Fora,Nova Brasilândia D'Oeste,RO,20489,Rondônia
1100155,110015,99,Fora,Fora,Ouro Preto do Oeste,RO,35737,Rondônia
1100189,110018,99,Fora,Fora,Pimenta Bueno,RO,36881,Rondônia
1100205,110020,99,Fora,Fora,Porto Velho,RO,539354,Rondônia
1100254,110025,99,Fora,Fora,Presidente Médici,RO,18571,Rondônia
1100262,110026,99,Fora,Fora,Rio Crespo,RO,3804,Rondônia
1100288,110028,99,Fora,Fora,Rolim de Moura,RO,55407,Rondônia
1100296,110029,99,Fora,Fora,Santa Luzia D'Oeste,RO,6216,Rondônia
1100304,110030,99,Fora,Fora,Vilhena,RO,102211,Rondônia
1100320,110032,99,Fora,Fora,São Miguel do Guaporé,RO,23077,Rondônia
1100338,110033,99,Fora,Fora,Nova Mamoré,RO,31392,Rondônia
1100346,110034,99,Fora,Fora,Alvorada D'Oeste,RO,14106,Rondônia
1100379,110037,99,Fora,Fora,Alto Alegre dos Parecis,RO,13255,Rondônia
1100403,110040,99,Fora,Fora,Alto Paraíso,RO,21847,Rondônia
1100452,110045,99,Fora,Fora,Buritis,RO,40356,Rondônia
1100502,110050,99,Fora,Fora,Novo Horizonte do Oeste,RO,8329,Rondônia
1100601,110060,99,Fora,Fora,Cacaulândia,RO,6269,Rondônia
1100700,110070,99,Fora,Fora,Campo Novo de Rondônia,RO,14266,Rondônia
1100809,110080,99,Fora,Fora,Candeias do Jamari,RO,27388,Rondônia
1100908,110090,99,Fora,Fora,Castanheiras,RO,2987,Rondônia
1100924,110092,99,Fora,Fora,Chupinguaia,RO,11472,Rondônia
