"ibge","nu_reg","nm_reg","nm_macro","nu_cep"
"412510","3","PONTA GROSSA","LESTE","84150000"
"412850","19","JACAREZINHO","NORTE","84950000"
"412880","12","UMUARAMA","NOROESTE","87535000"
"412800","11","CAMPO MOURAO","NOROESTE","85440000"
"412670","14","PARANAVAI","NOROESTE","87760000"
"412625","15","MARINGA","NOROESTE","86985000"
"412570","9","FOZ DO IGUACU","OESTE","85877000"
"412535","12","UMUARAMA","NOROESTE","87555000"
"412420","14","PARANAVAI","NOROESTE","87730000"
"412430","18","CORNELIO PROCOPIO","NORTE","86315000"
"412410","19","JACAREZINHO","NORTE","86430000"
"412310","18","CORNELIO PROCOPIO","NORTE","86370000"
"412370","14","PARANAVAI","NOROESTE","87910000"
"412382","10","CASCAVEL","OESTE","85795000"
"412290","19","JACAREZINHO","NORTE","84945000"
"412300","8","FRANCISCO BELTRAO","OESTE","85670000"
"412090","10","CASCAVEL","OESTE","85460000"
"412135","11","CAMPO MOURAO","NOROESTE","86290000"
"412160","8","FRANCISCO BELTRAO","OESTE","85610000"
"412175","5","GUARAPUAVA","LESTE","85195000"
"412180","19","JACAREZINHO","NORTE","86410000"
"412200","4","IRATI","LESTE","84560000"
"412085","20","TOLEDO","OESTE","85940000"
"412000","17","LONDRINA","NORTE","86160000"
"411890","12","UMUARAMA","NOROESTE","87540000"
"411770","3","PONTA GROSSA","LESTE","84130000"
"411800","14","PARANAVAI","NOROESTE","87780000"
"411810","15","MARINGA","NOROESTE","87660000"
"411845","20","TOLEDO","OESTE","85948000"
"411750","15","MARINGA","NOROESTE","87140000"
"411660","18","CORNELIO PROCOPIO","NORTE","86230000"
"411690","15","MARINGA","NOROESTE","87600000"
"411575","16","APUCARANA","NORTE","86828000"
"411410","15","MARINGA","NOROESTE","87160000"
"411450","22","IVAIPORA","NORTE","85260000"
"411520","15","MARINGA","NOROESTE","87001970"
"411530","7","PATO BRANCO","OESTE","85525000"
"411380","17","LONDRINA","NORTE","86635000"
"411170","19","JACAREZINHO","NORTE","84930000"
"411190","17","LONDRINA","NORTE","86610000"
"411260","14","PARANAVAI","NOROESTE","87690000"
"411100","18","CORNELIO PROCOPIO","NORTE","86375000"
"411120","7","PATO BRANCO","OESTE","85580000"
"411060","12","UMUARAMA","NOROESTE","87560000"
"410970","19","JACAREZINHO","NORTE","84900000"
"410990","12","UMUARAMA","NOROESTE","87530000"
"410870","16","APUCARANA","NORTE","86845000"
"410890","14","PARANAVAI","NOROESTE","87880000"
"410765","2","METROPOLITANA","LESTE","83820000"
"410800","17","LONDRINA","NORTE","86165000"
"410845","5","GUARAPUAVA","LESTE","85145000"
"410750","11","CAMPO MOURAO","NOROESTE","87270000"
"410754","10","CASCAVEL","OESTE","85465000"
"410657","8","FRANCISCO BELTRAO","OESTE","85598000"
"410670","14","PARANAVAI","NOROESTE","87650000"
"410685","22","IVAIPORA","NORTE","86855000"
"410690","2","METROPOLITANA","LESTE","80001970"
"410712","10","CASCAVEL","OESTE","85408000"
"410720","8","FRANCISCO BELTRAO","OESTE","85660000"
"410610","19","JACAREZINHO","NORTE","86480000"
"410510","17","LONDRINA","NORTE","86630000"
"410550","13","CIANORTE","NOROESTE","87200000"
"410560","13","CIANORTE","NOROESTE","87820000"
"410490","3","PONTA GROSSA","LESTE","84165970"
"410425","2","METROPOLITANA","LESTE","83535000"
"410430","11","CAMPO MOURAO","NOROESTE","87300970"
"410442","5","GUARAPUAVA","LESTE","85140000"
"410350","16","APUCARANA","NORTE","86820000"
"410395","5","GUARAPUAVA","LESTE","85148000"
"410320","16","APUCARANA","NORTE","86940000"
"410300","11","CAMPO MOURAO","NOROESTE","87390000"
"410305","10","CASCAVEL","OESTE","85780000"
"410310","2","METROPOLITANA","LESTE","83450000"
"410230","2","METROPOLITANA","LESTE","83650000"
"410020","2","METROPOLITANA","LESTE","83490000"
"410060","14","PARANAVAI","NOROESTE","87750000"
"410080","17","LONDRINA","NORTE","86150000"
"410140","16","APUCARANA","NORTE","86800970"
"410200","20","TOLEDO","OESTE","85935000"
