table_name,column_name,udt_name
activity,custom_id,varchar
activity,details,varchar
activity,timestamp,timestamptz
activity,database_id,int4
activity,user_id,int4
activity,table_id,int4
activity,model_id,int4
activity,id,int4
activity,topic,varchar
activity,model,varchar
administrable_role_authorizations,grantee,name
administrable_role_authorizations,role_name,name
administrable_role_authorizations,is_grantable,varchar
agendamento,data_fim,timestamp
agendamento,descricao,text
agendamento,data_inicio,timestamp
agendamento,posto_coleta_id,int4
agendamento,cor_evento,varchar
agendamento,ficha_id,int4
agendamento,id,int8
agendamento,participante_pesquisa,int4
agendamento,titulo,bpchar
alerta,valor,varchar
alerta,id,int2
alerta,tipo,varchar
alerta,email,varchar
applicable_roles,role_name,name
applicable_roles,is_grantable,varchar
applicable_roles,grantee,name
attributes,scope_schema,name
attributes,scope_catalog,name
attributes,udt_catalog,name
attributes,attribute_udt_name,name
attributes,character_octet_length,int4
attributes,attribute_udt_schema,name
attributes,is_derived_reference_attribute,varchar
attributes,attribute_name,name
attributes,udt_schema,name
attributes,attribute_default,varchar
attributes,ordinal_position,int4
attributes,scope_name,name
attributes,character_maximum_length,int4
attributes,udt_name,name
attributes,is_nullable,varchar
attributes,data_type,varchar
attributes,character_set_catalog,name
attributes,character_set_schema,name
attributes,character_set_name,name
attributes,collation_catalog,name
attributes,maximum_cardinality,int4
attributes,interval_precision,int4
attributes,datetime_precision,int4
attributes,numeric_scale,int4
attributes,numeric_precision_radix,int4
attributes,numeric_precision,int4
attributes,collation_schema,name
attributes,collation_name,name
attributes,interval_type,varchar
attributes,attribute_udt_catalog,name
attributes,dtd_identifier,name
card_label,id,int4
card_label,label_id,int4
card_label,card_id,int4
cbo,valor,varchar
cbo,id,int4
cbo,codigo,int4
cbo,titulo,varchar
cbo_descricao,id,int2
cbo_descricao,descricao,varchar
cbo_descricao,cbo,varchar
cbo_monitoramento,cbo_monitoramento,varchar
cbo_monitoramento,id,int4
character_sets,character_set_catalog,name
character_sets,character_set_schema,name
character_sets,character_set_name,name
character_sets,character_repertoire,name
character_sets,form_of_use,name
character_sets,default_collate_catalog,name
character_sets,default_collate_schema,name
character_sets,default_collate_name,name
check_constraint_routine_usage,constraint_catalog,name
check_constraint_routine_usage,constraint_name,name
check_constraint_routine_usage,constraint_schema,name
check_constraint_routine_usage,specific_schema,name
check_constraint_routine_usage,specific_name,name
check_constraint_routine_usage,specific_catalog,name
check_constraints,constraint_name,name
check_constraints,constraint_catalog,name
check_constraints,constraint_schema,name
check_constraints,check_clause,varchar
classificacao_final,classificacao_final,varchar
classificacao_final,id,int4
classificacao_monitoramento,classificacao_monitoramento,varchar
classificacao_monitoramento,id,int4
cnes,tx_cep,varchar
cnes,cd_cnes,varchar
cnes,cd_estab,varchar
cnes,cd_municip,varchar
cnes,descestab,varchar
cnes,tx_bairro,varchar
cnes,tx_enderec,varchar
cnes,tx_complem,varchar
cnes,status_est,varchar
cnes,tx_fax,varchar
cnes,tx_email,varchar
cnes,lo_unid_id,varchar
cnes,nu_fone_es,varchar
cnes,cd_enderec,varchar
cnes,cd_bairro_,varchar
cnes,flagdigita,varchar
cnes,no_razao_s,varchar
cnes,tx_numero_,varchar
cnes,co_tipo_un,varchar
cnes,cd_uf_esta,varchar
cnes,esferass,varchar
collation_character_set_applicability,character_set_catalog,name
collation_character_set_applicability,collation_catalog,name
collation_character_set_applicability,character_set_schema,name
collation_character_set_applicability,collation_schema,name
collation_character_set_applicability,collation_name,name
collation_character_set_applicability,character_set_name,name
collations,collation_catalog,name
collations,collation_schema,name
collations,collation_name,name
collations,pad_attribute,varchar
collection,description,text
collection,name,text
collection,id,int4
collection,archived,bool
collection,namespace,varchar
collection,location,varchar
collection,color,bpchar
collection,slug,varchar
collection,personal_owner_id,int4
collection_revision,created_at,timestamp
collection_revision,user_id,int4
collection_revision,id,int4
collection_revision,after,text
collection_revision,before,text
collection_revision,remark,text
column_column_usage,table_catalog,name
column_column_usage,table_schema,name
column_column_usage,table_name,name
column_column_usage,column_name,name
column_column_usage,dependent_column,name
column_domain_usage,domain_catalog,name
column_domain_usage,domain_name,name
column_domain_usage,domain_schema,name
column_domain_usage,table_catalog,name
column_domain_usage,table_schema,name
column_domain_usage,table_name,name
column_domain_usage,column_name,name
column_options,option_value,varchar
column_options,table_catalog,name
column_options,table_schema,name
column_options,table_name,name
column_options,column_name,name
column_options,option_name,name
column_privileges,privilege_type,varchar
column_privileges,table_name,name
column_privileges,grantor,name
column_privileges,column_name,name
column_privileges,grantee,name
column_privileges,table_catalog,name
column_privileges,is_grantable,varchar
column_privileges,table_schema,name
column_udt_usage,udt_name,name
column_udt_usage,udt_catalog,name
column_udt_usage,table_name,name
column_udt_usage,udt_schema,name
column_udt_usage,table_schema,name
column_udt_usage,table_catalog,name
column_udt_usage,column_name,name
columns,is_nullable,varchar
columns,maximum_cardinality,int4
columns,interval_precision,int4
columns,datetime_precision,int4
columns,numeric_scale,int4
columns,numeric_precision_radix,int4
columns,numeric_precision,int4
columns,character_octet_length,int4
columns,character_maximum_length,int4
columns,ordinal_position,int4
columns,table_catalog,name
columns,table_schema,name
columns,table_name,name
columns,column_name,name
columns,column_default,varchar
columns,data_type,varchar
columns,interval_type,varchar
columns,character_set_catalog,name
columns,character_set_schema,name
columns,character_set_name,name
columns,collation_catalog,name
columns,collation_schema,name
columns,collation_name,name
columns,domain_catalog,name
columns,domain_schema,name
columns,domain_name,name
columns,udt_catalog,name
columns,udt_schema,name
columns,udt_name,name
columns,scope_catalog,name
columns,scope_schema,name
columns,scope_name,name
columns,dtd_identifier,name
columns,is_self_referencing,varchar
columns,is_identity,varchar
columns,identity_generation,varchar
columns,identity_start,varchar
columns,identity_increment,varchar
columns,identity_maximum,varchar
columns,identity_minimum,varchar
columns,identity_cycle,varchar
columns,is_generated,varchar
columns,generation_expression,varchar
columns,is_updatable,varchar
computation_job,updated_at,timestamp
computation_job,id,int4
computation_job,context,text
computation_job,ended_at,timestamp
computation_job,type,varchar
computation_job,creator_id,int4
computation_job,created_at,timestamp
computation_job,status,varchar
computation_job_result,job_id,int4
computation_job_result,id,int4
computation_job_result,updated_at,timestamp
computation_job_result,permanence,varchar
computation_job_result,payload,text
computation_job_result,created_at,timestamp
constraint_column_usage,constraint_schema,name
constraint_column_usage,table_catalog,name
constraint_column_usage,table_name,name
constraint_column_usage,constraint_name,name
constraint_column_usage,column_name,name
constraint_column_usage,table_schema,name
constraint_column_usage,constraint_catalog,name
constraint_table_usage,constraint_catalog,name
constraint_table_usage,table_schema,name
constraint_table_usage,table_catalog,name
constraint_table_usage,constraint_name,name
constraint_table_usage,constraint_schema,name
constraint_table_usage,table_name,name
contato,idade,int4
contato,data_nascimento,date
contato,data_registro,timestamp
contato,sexo,int4
contato,telefone,varchar
contato,celular,varchar
contato,longitude,varchar
contato,latitude,varchar
contato,cep,varchar
contato,bairro,varchar
contato,endereco,varchar
contato,id,int4
contato,tipo_contato,int4
contato,uf,varchar
contato,ibge,varchar
contato,nome_mae,varchar
contato,nome,varchar
contato,cns,varchar
contato,cpf,varchar
contato,numero,int4
contato,complemento,varchar
core_session,anti_csrf_token,text
core_session,id,varchar
core_session,created_at,timestamptz
core_session,user_id,int4
core_user,email,varchar
core_user,first_name,varchar
