co_uf,sg_uf,no_uf,no_completo_uf
0,IG,IGNORADO/EXTERIOR,
11,RO,RONDONIA,Rondônia
12,AC,ACRE,Acre
13,AM,AMAZONAS,Amazonas
14,RR,RORAIMA,Roraima
15,PA,PARA,Pará
16,AP,AMAPA,Amapá
17,TO,TOCANTINS,Tocantins
21,MA,MARANHAO,Maranhão
22,PI,PIAUI,Piauí
23,CE,CEARA,Ceará
24,RN,RIO GRANDE DO NORTE,Rio Grande do Norte
25,PB,PARAIBA,Paraíba
26,PE,PERNAMBUCO,Pernambuco
27,AL,ALAGOAS,Alagoas
28,SE,SERGIPE,Sergipe
29,BA,BAHIA,Bahia
31,MG,MINAS GERAIS,Minas Gerais
32,ES,ESPIRITO SANTO,Espírito Santo
33,RJ,RIO DE JANEIRO,Rio de Janeiro
35,SP,SAO PAULO,São Paulo
41,PR,PARANA,Paraná
42,SC,SANTA CATARINA,Santa Catarina
43,RS,RIO GRANDE DO SUL,Rio Grande do Sul
50,MS,MATO GROSSO DO SUL,Mato Grosso do Sul
51,MT,MATO GROSSO,Mato Grosso
52,GO,GOIAS,Goiás
53,DF,DISTRITO FEDERAL,Distrito Federal
