co_etnia,etnia,co_etnia_ms
37,ASHANINKA,
86,GUARANI KAIOWÁ,
95,HUPD ÄH (HUPDE),
96,IKPENG,
110,KA APOR,
134,KANINDÉ,
177,KUBEO (KUBEWÁ; PANIWÁ),
197,MAMURI,
274,PIRIPIKURA,
360,WAUJA (WUARÁ; AWUARÁ),
383,YE KUANA,
388,ZO É,
30,ARARA VERMELHA,15
53,BORARI,16
301,TAPAJÓS,17
89,GUARASUGWE,22
340,TUXI,23
6,AIKEWARA,3116
7,AIMORE,3117
10,ALAKETESU,3118
26,ARARA DE RONDÔNIA,3119
27,ARARA DO ACRE,3120
29,ARARA DO PARÁ,3121
43,AWÁ GUAJÁ,3122
45,BAENÃ,3123
57,CABOCLOS DO ASSU,3124
70,DJEOROMITXÍ - JABUTÍ,3125
74,GALIBI DO OIAPOQUE,3126
76,GAMELA,3127
79,GAVIÃO KRIKATEJÊ,3128
82,GUAIKURÚ,3129
91,HAHAINTESU,3130
104,JARICUNA,3131
112,KAETÉ,3132
113,KAHYANA,3133
121,KAMAKÃ,3134
126,KAMBIWÁ-PIPIPÃ,3135
144,KARIJÓ,3136
155,KATUKINA DO ACRE,3137
175,KRENYÊ,3138
184,KUNTANAWA,3139
188,LAIANA,3140
189,LAKONDÊ,3141
198,MANAO,3142
213,MEBÊNGÔKRE KAYAPÓ,3143
216,MENKRANGNOTI,3144
217,MENTUKTIRE,3145
235,NINÁM,3146
251,PAKAA NOVA,3147
254,PANKAIUKÁ,3148
256,PANKARÁ DA ALDEIA SERROTE DOS CAMPOS,3149
260,PAPAVÓ,3150
275,PIRI-PIRI,3152
278,POVO DO XINANE,3153
280,PURI,3154
286,SALAMÃY,3155
288,SAPARÁ,3156
292,SIKIYANA,3157
300,TAMOIO,3158
305,TAPIUNS,3159
314,TENETEHARA,3160
329,TÜKUNA,3161
334,TUPI-GUARANI,3162
336,TUPINAMBARANÁ,3163
345,URUCÚ,3164
355,WARAO,3165
357,WARIPI,3166
377,YAIPIYANA,3167
380,YANOMÁN,3168
385,YUDJÁ,3169
386,YUHUPDEH,3170
24,ARAPIUN,14
102,JARAQUI,18
224,MUNDURUKU CARAPRETA,19
190,LATUNDÊ,2269
350,WAIKISU,2271
359,WASUSU,2273
166,KITHAULU,2276
295,SURUÍ,2281
