id,exame
1,Vírus Respiratório
10,COVID-19 Ag ECO Teste
100, SOROLOGIA COVID-19 (Anticorpos anti-SARS-CoV-2 IgG)
101,Covid-19 ELISA IgG+IgA
102,Medix -Teste coronavírus -IgG/IgM
103,ACRO BIOTECH (ACRO Rapid Test)
104,2019-nCoV IgG/IgM DEVICE ( TESTE RÁPIDO )
105,2019-nCOV AB TEST (COLLOIDAL GOLD) IgM/IgG (WHOLE BLOOD / SERUM / PLASMA)
106,2019-nCOV IgG (CLIA)
107,2019-nCoV IgG/IgM COMBO TEST CARD
108,2019-nCoV IgG/IgM RAPID TEST
109,2019-nCOV IgM (CLIA)
11,COVID-19 IgG/IgM
110,ADVIA CENTAUR SARS-CoV-2 TOTAL (COV2T)
111,ANTI-SARS-CoV-2 IgG REAGENT PACK
112,STANDARD Q COVID-19 IgM/IgG DUO
113,ARTRON ONE STEP TESTE RÁPIDO CORONAVÍRUS
114,ATELLICA IM SARS-CoV-2 TOTAL (COV2T)
115,COBAS SARS-CoV-2
116,CORONAVIRUS 2019 ANTIBODY (IgM/IgG) COMBINED TEST KIT
117,COVID-19 IgM/IgG DUO (SD BIOSENSOR)
118,COVID-19 (2019-nCoV) CORONAVIRUS IgG / IgM RAPID TEST KIT
119,COVID-19 (SARS-CoV-2) IgM/IgG ANTIBODY TEST KIT
12,COVID-19 IgG/IgM BIO
120,COVID-19 (2019-nCoV) CORONAVÍRUS IgG/IgM RAPID TEST KIT
121,COVID-19 (SARS-CoV-2) IgM ELISA
122,COVID-19 (SARS-CoV-2) IgM/IgG ANTIBODY TEST KIT
123,COVID-19 IgG
124,COVID-19 IgG/IgM DUO (NANOENTEK)
125,COVID-19 IgG/IgM ECO
126,COVID-19 IgG/IgM RAPID TEST (COLLOIDAL GOLD)
127,COVID-19 IgM ANTIBODY RAPID TEST KIT
128,COVID-19 IgM/IgG ANTIBODY TEST
129,COVID-19 IgM/IgG ANTIBODY TEST (COLLOIDAL GOLD)
13,COVID-19 IgG/IgM ECO Teste
130,EDI NOVEL CORONAVÍRUS COVID-19 IgG ELISA KIT
132,ERBALISA COVID-19 IgG
133,HECIN COVID-19 IgM ANTIBODY RAPID TEST KIT
134,IgM/IgG DIAGNOSTIC KIT FOR IgM/IgG ANTIBODY TO CORONAVÍRUS (SARS-CoV-2) [LATERAL FLOW]
135,KIT COVID-19 IgG/IgM
136,KIT DE DETECÇÃO 2019-nCoV IgG/IgM (Baseado em couro coloidal)
137,KIT ELISA SARS-CoV-2 IgG
138,KIT XGEN MASTER COVID-19
139,NEWSCEN - COVID-19 IgG/IgM RAPID TEST CASSETTE
14,COVID-19 IgG/IgM LF
140,NOVALISA SARS-CoV-2 (COVID-19) IgG
141,NOVEL CORONAVÍRUS (2019-nCoV) IgM/IgG ANTIBODY COMBO TEST KIT (COLLOIDAL GOLD)
142,ONE STEP TEST FOR NOVEL CORONAVÍRUS (2019-nCoV) IgM/IgG ANTIBODY
143,RENDER COVID-19 IgM & IgG TEST
144,SARS-CoV-2 ANTIBODY TEST STRIP
145,SARS-CoV-2 ELISA IgG
146,SARS-CoV-2 IgM/IgG (MACCURA)
147,SARS-CoV-2 IgM/IgG AB RAPID TEST
148,SARS-CoV-2 IgM/IgG ANTIBODY ASSAY KIT
149,SARS-CoV-2 IgM/IgG ANTIBODY TEST (COLLOIDAL GOLD)
15,COVID-19 igG/IgM test
150,SARS-CoV-2 IgM/IgG COMBO RAPID TEST KIT
151,ARTRON COVID-19 IgM/IgG ANTIBODY TEST
152,SARS-CoV-2 Antibody Test (Lateral  Flow Method)
153,ELISA in house SARS-COV-2 IgM (UNILA)
