id,uf,nre,municipio,codigo_inep,escola,dependencia_administrativa,localizacao,localidade_diferenciada,endereco,telefone,categoria_escola_privada,etapas_modalidade_ensino_oferecidas,outras_ofertas_educacionais,apmf_cnpj
2,PR,APUCARANA,Apucarana,41157095,ACALANTO C E I,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA OSORIO RIBAS DE PAULA, 1455 VL VITORIA. 86802-710 Apucarana - PR.",(43) 31220046,Particular,Educação Infantil,,
3,PR,APUCARANA,Apucarana,41025296,ADVENTISTA - ESCOLA ED-EF,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA DOUTOR MUNHOZ DA ROCHA, 1925 CENTRO. 86800-014 Apucarana - PR.",(43) 30334916,Particular,"Educação Infantil, Ensino Fundamental",,
4,PR,APUCARANA,Apucarana,41025318,ALBERTO SANTOS DUMONT C E EF M PROFIS,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA ERASTO GAERTNER, 64 CENTRO. 86800-280 Apucarana - PR.",(43) 34221425,Não Informado,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,78975034000199
5,PR,APUCARANA,Apucarana,41025326,ALBINO BIACCHI E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"AV JUSCELINO KUBITSCHEK DE OLIVEIRA, 250 JD TRABALHISTA. 86807-180 Apucarana - PR.",(43) 30341651,Não Informado,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,
6,PR,APUCARANA,Apucarana,41359275,ALCIDES RAMOS E M PROF EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA RIO IGUACU, 10 N OSMAR G FREIRE. 86801-020 Apucarana - PR.",(43) 34262324,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
7,PR,APUCARANA,Apucarana,41155610,ALICE PEREIRA DE ARAUJO C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA INOCENCIO MARTINS, 18 SUMATRA II. 86812-767 Apucarana - PR.",(43) 34220586,Não Informado,Educação Infantil,,
8,PR,APUCARANA,Apucarana,41368444,ANA LUIZAO FESTI C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA AUGUSTO FERREIRA CHAGAS, 847 DIST.DE PIRAPO. 86818-000 Apucarana - PR.",(43) 33401230,Não Informado,Educação Infantil,,
9,PR,APUCARANA,Apucarana,41025342,ANTONIETA S LAUTENSCHLAGER E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA NOSSA SENHORA DA CONCEICAO, 449 JD PRES KENNEDY. 86809-120 Apucarana - PR.",(43) 34232998,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
10,PR,APUCARANA,Apucarana,41368452,ANTONIO DO CARMO RIBEIRO C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA NELSON MIQUILAO SN, CAIXA DE SAO PEDRO. 86817-000 Apucarana - PR.",(43) 34405040,Não Informado,Educação Infantil,,
11,PR,APUCARANA,Apucarana,41597907,ANTONIO T R DE OLIVEIRA C E EF M,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA SANTA HELENA, 42 JD CIDADE EDUCACAO. 86806-560 Apucarana - PR.",(43) 34242484,Não Informado,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,12150717000107
12,PR,APUCARANA,Apucarana,41025385,ANTONIO VIEIRA E M C PE EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA CALIFORNIA, 555 DT CORREA FREITAS. 86816-000 Apucarana - PR.",(43) 34581002,Não Informado,"Educação Infantil, Ensino Fundamental",,
13,PR,APUCARANA,Apucarana,41385233,ARNALDO BELTRAMI E M MONS EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA LUIZ CLAUDIO MATSUI, 106 JD COLONIAL II. 86812-540 Apucarana - PR.",(43) 34227879,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
