co_municipio,no_municipio,co_uf,nu_latitude,nu_longitude,co_regional,co_macro_reg,populacao,pop_0_4,pop_5_9,pop_10_14,pop_15_19,pop_20_29,pop_30_39,pop_40_49,pop_50_59,pop_60_69,pop_70_79,pop_80,no_municipio_completo
110001,ALTA FLORESTA D'OESTE,11,-11.9355,-61.9998,1102,1190,,,,,,,,,,,,,Alta Floresta d'Oeste
110002,ARIQUEMES,11,-9.9085,-63.0333,1104,1190,,,,,,,,,,,,,Ariquemes
110003,CABIXI,11,-13.4998,-60.5443,1103,1190,,,,,,,,,,,,,Cabixi
110004,CACOAL,11,-11.4339,-61.4429,1102,1190,,,,,,,,,,,,,Cacoal
110005,CEREJEIRAS,11,-13195,-60.8184,1103,1190,,,,,,,,,,,,,Cerejeiras
110006,COLORADO DO OESTE,11,-13.1306,-60.5551,1103,1190,,,,,,,,,,,,,Colorado do Oeste
110007,CORUMBIARA,11,-12.9975,-60.9487,1103,1190,,,,,,,,,,,,,Corumbiara
110008,COSTA MARQUES,11,-12436,-64.2317,1101,1190,,,,,,,,,,,,,Costa Marques
110009,ESPIGAO D'OESTE,11,-11.5286,-61.0202,1102,1190,,,,,,,,,,,,,Espigão d'Oeste
110010,GUAJARA-MIRIM,11,-10.7739,-65324,1104,1190,,,,,,,,,,,,,Guajará-Mirim
110011,JARU,11,-10436,-62.4762,1101,1190,,,,,,,,,,,,,Jaru
110012,JI-PARANA,11,-10.8821,-61.9451,1101,1190,,,,,,,,,,,,,Ji-Paraná
110013,MACHADINHO D'OESTE,11,-9.4256,-61.9996,1104,1190,,,,,,,,,,,,,Machadinho d'Oeste
110014,NOVA BRASILANDIA D'OESTE,11,-11.7213,-62.3082,1102,1190,,,,,,,,,,,,,Nova Brasilândia d'Oeste
110015,OURO PRETO DO OESTE,11,-10.7236,-62.2611,1101,1190,,,,,,,,,,,,,Ouro Preto do Oeste
110018,PIMENTA BUENO,11,-11.6775,-61.1837,1102,1190,,,,,,,,,,,,,Pimenta Bueno
110020,PORTO VELHO,11,-8.7689,-63.8315,1104,1190,,,,,,,,,,,,,Porto Velho
