id_surto,nome,data,num_aprox_exposto,tipo_local_surto,cep,logradouro,logradouro_numero,municipio_surto,status,instituicao_id,data_cadastro
36,FRIMESA- MEDIANEIRA,2020-05-28,4469,1,85884000,Rua Bahia,159,411580,2,0,
394,HPV- DOIS VIZINHOS,2020-08-06,96,2,85660000,RUA INEZ PINZON,611,410720,2,0,
1176,Casa de Repouso Vida Plena - Almirante Tamandaré,2021-01-13,38,7,83505134,Travessa Schultz,131,410040,2,712,
1162,14ª AGROCANA,2021-01-04,1760,3,87780000,AV: TAPEJARA ,2150,411800,2,0,
3308,ILPI - SANTANA,,0,7,,,0,412400,1,0,2022-01-26T11:11:02
333,SEMINARIO LEGIONARIOS DE CRISTO - CURITIBA,,0,70,82315010,Rua Brasílio Cuman,757,410690,2,1267,
382,METHAL COMPANY - FAZENDA RIO GRANDE,,0,74,83820332,Avenida das Indústrias,655,410765,2,0,
380,SUMITOMO RUBBER DO BRASIL LTDA - FAZENDA RIO GRANDE,,0,73,83820293,Avenida Francisco Ferreira da Cruz - Eucaliptos,4656,410765,2,0,
806,JAGUÁ FRANGOS - RONDON 2,2020-11-18,388,1,87800000,RODOVIA PR 466 S/N KM 56,0,412260,1,0,
370,ALDEIA QUEIMADAS,2020-07-29,72,63,84350000,Queimadas,0,411730,2,0,
297,BRF - DOIS VIZINHOS_2,2020-07-16,2800,1,85660000,Rua Senador Atílio Fontana – Parque. Industrial I,2323,410720,2,0,
359,FESTA DE ANIVERSÁRIO - IPIRANGA,2020-07-24,30,11,84450000,Cerro Azul,0,411050,2,0,
334,TOZETTO (OFICINAS) - PONTA GROSSA,2020-06-17,500,18,84045320,Rua Franco Grilo,200,411990,2,0,
1167,Surto Genovei- Quatro Pntes,2021-01-20,15,143,85940000,"Rua Santa Rosa, - Centro",693,412085,2,0,
1464,SESC SENAC JACAREZINHO,2021-02-10,76,39,86400000,RUA DOIS DE ABRIL,720,411180,2,0,
769,Clínica de Reabilitação Reviver Homem Leão - CASCAVEL,2020-11-10,70,2,85820899,Colonia Tormenta Lt 69  área rural,0,410480,2,1300,
350,UBS ILDEFONSO ZANETTI - IRATI,2020-08-06,34,2,84504458,R ZEFERINO BITENCOURT,0,411070,2,0,
385,BAZAR DA VANIA,2020-08-09,3,52,86390000,"Rua Major Barbosa, 721",3,410360,2,0,
383,ASSENTAMENTO SAO FRANCISCO - RIBEIRAO DO PINHAL,2020-07-19,60,11,86490000,PR 218,0,412190,2,0,
340,CASA D´ITALIA PIZZARIA - IBIPORA,2020-08-01,10,8,86200000,RUA VICENTE MACHADO,618,410980,2,0,
43,TARANGINE - CORNÉLIO PROCÓPIO,2020-05-10,34,2,86300000,RUA EMILIA GOMES,109,410640,2,0,
336,CRESOL - CORONEL VIVIDA,2020-07-30,24,16,85550000,"Rua Dr Claudino dos Santos,  Centro ",277,410650,2,0,
363,CAMISC - MARIÓPOLIS,2020-08-04,6,3,85525000,RUA 04,530,411530,2,0,
377,LATICÍNIO BELA VISTA - PIRACANJUBA,2020-08-04,79,49,85565000,Linha águas termais,0,412665,2,0,
416,CADEIA PÚBLICA DE TELÊMACO BORBA,2020-07-26,0,10,84261680,Avenida Ozorio de Almeida Taques,300,412710,2,1246,
1158,UPA Telemaco Borba,2020-12-01,0,87,84269000,Avenida Marechal Floriano Peixoto,2071,412710,2,0,
