"cod_uf","uf","cod_municipio","municipio","ibge","populacao"
"11","RO","15","Alta Floresta D'Oeste","110001","22728"
"11","RO","23","Ariquemes","110002","109523"
"11","RO","31","Cabixi","110003","5188"
"11","RO","49","Cacoal","110004","85893"
"11","RO","56","Cerejeiras","110005","16204"
"11","RO","64","Colorado do Oeste","110006","15544"
"11","RO","72","Corumbiara","110007","7220"
"11","RO","80","Costa Marques","110008","18798"
"11","RO","98","Espigão D'Oeste","110009","32695"
"11","RO","106","Guajará-Mirim","110010","46556"
"11","RO","114","Jaru","110011","51620"
"11","RO","122","Ji-Paraná","110012","130009"
"11","RO","130","Machadinho D'Oeste","110013","40867"
"11","RO","148","Nova Brasilândia D'Oeste","110014","20489"
"11","RO","155","Ouro Preto do Oeste","110015","35737"
"11","RO","189","Pimenta Bueno","110018","36881"
"11","RO","205","Porto Velho","110020","539354"
"11","RO","254","Presidente Médici","110025","18571"
"11","RO","262","Rio Crespo","110026","3804"
"11","RO","288","Rolim de Moura","110028","55407"
"11","RO","296","Santa Luzia D'Oeste","110029","6216"
"11","RO","304","Vilhena","110030","102211"
"11","RO","320","São Miguel do Guaporé","110032","23077"
"11","RO","338","Nova Mamoré","110033","31392"
"11","RO","346","Alvorada D'Oeste","110034","14106"
"11","RO","379","Alto Alegre dos Parecis","110037","13255"
"11","RO","403","Alto Paraíso","110040","21847"
"11","RO","452","Buritis","110045","40356"
"11","RO","502","Novo Horizonte do Oeste","110050","8329"
"11","RO","601","Cacaulândia","110060","6269"
"11","RO","700","Campo Novo de Rondônia","110070","14266"
"11","RO","809","Candeias do Jamari","110080","27388"
"11","RO","908","Castanheiras","110090","2987"
"11","RO","924","Chupinguaia","110092","11472"
"11","RO","940","Cujubim","110094","26183"
"11","RO","1005","Governador Jorge Teixeira","110100","7445"
"11","RO","1104","Itapuã do Oeste","110110","10641"
"11","RO","1203","Ministro Andreazza","110120","9559"
"11","RO","1302","Mirante da Serra","110130","10818"
"11","RO","1401","Monte Negro","110140","16007"
"11","RO","1435","Nova União","110143","6895"
"11","RO","1450","Parecis","110145","6198"
"11","RO","1468","Pimenteiras do Oeste","110146","2148"
"11","RO","1476","Primavera de Rondônia","110147","2776"
"11","RO","1484","São Felipe D'Oeste","110148","5066"
"11","RO","1492","São Francisco do Guaporé","110149","20681"
"11","RO","1500","Seringueiras","110150","11851"
"11","RO","1559","Teixeirópolis","110155","4233"
"11","RO","1609","Theobroma","110160","10395"
"11","RO","1708","Urupá","110170","11272"
"11","RO","1757","Vale do Anari","110175","11377"
"11","RO","1807","Vale do Paraíso","110180","6656"
"12","AC","13","Acrelândia","120001","15490"
"12","AC","54","Assis Brasil","120005","7534"
"12","AC","104","Brasiléia","120010","26702"
"12","AC","138","Bujari","120013","10420"
"12","AC","179","Capixaba","120017","12008"
"12","AC","203","Cruzeiro do Sul","120020","89072"
"12","AC","252","Epitaciolândia","120025","18696"
"12","AC","302","Feijó","120030","34884"
"12","AC","328","Jordão","120032","8473"
"12","AC","336","Mâncio Lima","120033","19311"
"12","AC","344","Manoel Urbano","120034","9581"
"12","AC","351","Marechal Thaumaturgo","120035","19299"
"12","AC","385","Plácido de Castro","120038","19955"
"12","AC","393","Porto Walter","120039","12241"
"12","AC","401","Rio Branco","120040","413418"
"12","AC","427","Rodrigues Alves","120042","19351"
"12","AC","435","Santa Rosa do Purus","120043","6717"
"12","AC","450","Senador Guiomard","120045","23236"
"12","AC","500","Sena Madureira","120050","46511"
"12","AC","609","Tarauacá","120060","43151"
"12","AC","708","Xapuri","120070","19596"
